"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","40+","Destination","138"
"2014-10-01","40+","Disney Springs","1860"
"2014-10-01","40+","Disney's Animal Kingdom Theme Park","2131"
"2014-10-01","40+","Disney's Animal Kingdom Theme Park Resort Area","801"
"2014-10-01","40+","Disney's BoardWalk","76"
"2014-10-01","40+","Disney's Hollywood Studios","4582"
"2014-10-01","40+","Downtown Disney Resort Area","78"
"2014-10-01","40+","Epcot","8347"
"2014-10-01","40+","Epcot Resort Area","1430"
"2014-10-01","40+","Magic Kingdom Park","5250"
"2014-10-01","40+","Magic Kingdom Resort Area","7358"
"2014-10-02","40+","Destination","163"
"2014-10-02","40+","Disney Springs","2087"
"2014-10-02","40+","Disney's Animal Kingdom Theme Park","2205"
"2014-10-02","40+","Disney's Animal Kingdom Theme Park Resort Area","915"
"2014-10-02","40+","Disney's BoardWalk","104"
"2014-10-02","40+","Disney's Hollywood Studios","4218"
"2014-10-02","40+","Downtown Disney Resort Area","164"
"2014-10-02","40+","Epcot","6727"
"2014-10-02","40+","Epcot Resort Area","1410"
"2014-10-02","40+","Magic Kingdom Park","4354"
"2014-10-02","40+","Magic Kingdom Resort Area","7596"
"2014-10-03","40+","Destination","307"
"2014-10-03","40+","Disney Springs","2516"
"2014-10-03","40+","Disney's Animal Kingdom Theme Park","2417"
"2014-10-03","40+","Disney's Animal Kingdom Theme Park Resort Area","1004"
"2014-10-03","40+","Disney's BoardWalk","127"
"2014-10-03","40+","Disney's Hollywood Studios","4460"
"2014-10-03","40+","Downtown Disney Resort Area","129"
"2014-10-03","40+","Epcot","7581"
"2014-10-03","40+","Epcot Resort Area","1416"
"2014-10-03","40+","Magic Kingdom Park","4291"
"2014-10-03","40+","Magic Kingdom Resort Area","7924"
"2014-10-04","40+","Destination","345"
"2014-10-04","40+","Disney Springs","2353"
"2014-10-04","40+","Disney's Animal Kingdom Theme Park","2231"
"2014-10-04","40+","Disney's Animal Kingdom Theme Park Resort Area","1064"
"2014-10-04","40+","Disney's BoardWalk","113"
"2014-10-04","40+","Disney's Hollywood Studios","3552"
"2014-10-04","40+","Downtown Disney Resort Area","197"
