"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","30+","Destination","164"
"2014-10-01","30+","Disney Springs","2036"
"2014-10-01","30+","Disney's Animal Kingdom Theme Park","2231"
"2014-10-01","30+","Disney's Animal Kingdom Theme Park Resort Area","871"
"2014-10-01","30+","Disney's BoardWalk","84"
"2014-10-01","30+","Disney's Hollywood Studios","4720"
"2014-10-01","30+","Downtown Disney Resort Area","100"
"2014-10-01","30+","Epcot","8740"
"2014-10-01","30+","Epcot Resort Area","1503"
"2014-10-01","30+","Magic Kingdom Park","5389"
"2014-10-01","30+","Magic Kingdom Resort Area","7670"
"2014-10-02","30+","Destination","195"
"2014-10-02","30+","Disney Springs","2289"
"2014-10-02","30+","Disney's Animal Kingdom Theme Park","2304"
"2014-10-02","30+","Disney's Animal Kingdom Theme Park Resort Area","1023"
"2014-10-02","30+","Disney's BoardWalk","114"
"2014-10-02","30+","Disney's Hollywood Studios","4372"
"2014-10-02","30+","Downtown Disney Resort Area","179"
"2014-10-02","30+","Epcot","7097"
"2014-10-02","30+","Epcot Resort Area","1521"
"2014-10-02","30+","Magic Kingdom Park","4690"
"2014-10-02","30+","Magic Kingdom Resort Area","7921"
"2014-10-03","30+","Destination","339"
"2014-10-03","30+","Disney Springs","2761"
"2014-10-03","30+","Disney's Animal Kingdom Theme Park","2543"
"2014-10-03","30+","Disney's Animal Kingdom Theme Park Resort Area","1120"
"2014-10-03","30+","Disney's BoardWalk","138"
"2014-10-03","30+","Disney's Hollywood Studios","4642"
"2014-10-03","30+","Downtown Disney Resort Area","139"
"2014-10-03","30+","Epcot","8030"
"2014-10-03","30+","Epcot Resort Area","1515"
"2014-10-03","30+","Magic Kingdom Park","4583"
"2014-10-03","30+","Magic Kingdom Resort Area","8311"
"2014-10-04","30+","Destination","409"
"2014-10-04","30+","Disney Springs","2597"
"2014-10-04","30+","Disney's Animal Kingdom Theme Park","2392"
"2014-10-04","30+","Disney's Animal Kingdom Theme Park Resort Area","1165"
"2014-10-04","30+","Disney's BoardWalk","119"
"2014-10-04","30+","Disney's Hollywood Studios","3729"
"2014-10-04","30+","Downtown Disney Resort Area","227"
"2014-10-04","30+","Epcot","7823"
"2014-10-04","30+","Epcot Resort Area","1540"
"2014-10-04","30+","Magic Kingdom Park","6572"
"2014-10-04","30+","Magic Kingdom Resort Area","9401"
"2014-10-05","30+","Destination","251"
"2014-10-05","30+","Disney Springs","2722"
"2014-10-05","30+","Disney's Animal Kingdom Theme Park","2603"
"2014-10-05","30+","Disney's Animal Kingdom Theme Park Resort Area","1150"
"2014-10-05","30+","Disney's BoardWalk","206"
"2014-10-05","30+","Disney's Hollywood Studios","5652"
"2014-10-05","30+","Downtown Disney Resort Area","196"
"2014-10-05","30+","Epcot","7243"
"2014-10-05","30+","Epcot Resort Area","1664"
"2014-10-05","30+","Magic Kingdom Park","5278"
"2014-10-05","30+","Magic Kingdom Resort Area","8188"
"2014-10-06","30+","Destination","219"
"2014-10-06","30+","Disney Springs","2065"
"2014-10-06","30+","Disney's Animal Kingdom Theme Park","2973"
"2014-10-06","30+","Disney's Animal Kingdom Theme Park Resort Area","955"
"2014-10-06","30+","Disney's BoardWalk","184"
"2014-10-06","30+","Disney's Hollywood Studios","5640"
"2014-10-06","30+","Downtown Disney Resort Area","98"
"2014-10-06","30+","Epcot","8182"
"2014-10-06","30+","Epcot Resort Area","1888"
"2014-10-06","30+","Magic Kingdom Park","6706"
"2014-10-06","30+","Magic Kingdom Resort Area","8100"
"2014-10-07","30+","Destination","168"
"2014-10-07","30+","Disney Springs","2470"
"2014-10-07","30+","Disney's Animal Kingdom Theme Park","2848"
"2014-10-07","30+","Disney's Animal Kingdom Theme Park Resort Area","895"
"2014-10-07","30+","Disney's BoardWalk","187"
"2014-10-07","30+","Disney's Hollywood Studios","3958"
"2014-10-07","30+","Downtown Disney Resort Area","178"
"2014-10-07","30+","Epcot","7732"
"2014-10-07","30+","Epcot Resort Area","1853"
"2014-10-07","30+","Magic Kingdom Park","6188"
"2014-10-07","30+","Magic Kingdom Resort Area","8576"
"2014-10-08","30+","Destination","212"
"2014-10-08","30+","Disney Springs","2255"
"2014-10-08","30+","Disney's Animal Kingdom Theme Park","2538"
"2014-10-08","30+","Disney's Animal Kingdom Theme Park Resort Area","874"
"2014-10-08","30+","Disney's BoardWalk","230"
"2014-10-08","30+","Disney's Hollywood Studios","5380"
"2014-10-08","30+","Downtown Disney Resort Area","55"
"2014-10-08","30+","Epcot","8554"
"2014-10-08","30+","Epcot Resort Area","1819"
"2014-10-08","30+","Magic Kingdom Park","6043"
"2014-10-08","30+","Magic Kingdom Resort Area","7951"
"2014-10-09","30+","Destination","254"
"2014-10-09","30+","Disney Springs","2570"
"2014-10-09","30+","Disney's Animal Kingdom Theme Park","2506"
"2014-10-09","30+","Disney's Animal Kingdom Theme Park Resort Area","972"
"2014-10-09","30+","Disney's BoardWalk","187"
"2014-10-09","30+","Disney's Hollywood Studios","4970"
"2014-10-09","30+","Downtown Disney Resort Area","89"
"2014-10-09","30+","Epcot","7297"
"2014-10-09","30+","Epcot Resort Area","1430"
"2014-10-09","30+","Magic Kingdom Park","5190"
"2014-10-09","30+","Magic Kingdom Resort Area","8765"
"2014-10-10","30+","Destination","324"
"2014-10-10","30+","Disney Springs","2596"
"2014-10-10","30+","Disney's Animal Kingdom Theme Park","2962"
"2014-10-10","30+","Disney's Animal Kingdom Theme Park Resort Area","957"
"2014-10-10","30+","Disney's BoardWalk","186"
"2014-10-10","30+","Disney's Hollywood Studios","5171"
"2014-10-10","30+","Downtown Disney Resort Area","118"
"2014-10-10","30+","Epcot","8496"
"2014-10-10","30+","Epcot Resort Area","1668"
"2014-10-10","30+","Magic Kingdom Park","5321"
"2014-10-10","30+","Magic Kingdom Resort Area","8746"
"2014-10-11","30+","Destination","358"
"2014-10-11","30+","Disney Springs","3008"
"2014-10-11","30+","Disney's Animal Kingdom Theme Park","2603"
"2014-10-11","30+","Disney's Animal Kingdom Theme Park Resort Area","1226"
"2014-10-11","30+","Disney's BoardWalk","227"
"2014-10-11","30+","Disney's Hollywood Studios","5347"
"2014-10-11","30+","Downtown Disney Resort Area","172"
"2014-10-11","30+","Epcot","9252"
"2014-10-11","30+","Epcot Resort Area","1673"
"2014-10-11","30+","Magic Kingdom Park","6519"
"2014-10-11","30+","Magic Kingdom Resort Area","9501"
"2014-10-12","30+","Destination","355"
"2014-10-12","30+","Disney Springs","2768"
"2014-10-12","30+","Disney's Animal Kingdom Theme Park","3119"
"2014-10-12","30+","Disney's Animal Kingdom Theme Park Resort Area","1325"
"2014-10-12","30+","Disney's BoardWalk","196"
"2014-10-12","30+","Disney's Hollywood Studios","5299"
"2014-10-12","30+","Downtown Disney Resort Area","208"
"2014-10-12","30+","Epcot","8636"
"2014-10-12","30+","Epcot Resort Area","1535"
"2014-10-12","30+","Magic Kingdom Park","7075"
"2014-10-12","30+","Magic Kingdom Resort Area","8919"
"2014-10-13","30+","Destination","246"
"2014-10-13","30+","Disney Springs","2104"
"2014-10-13","30+","Disney's Animal Kingdom Theme Park","3168"
"2014-10-13","30+","Disney's Animal Kingdom Theme Park Resort Area","1105"
