SCENARIO_ID,DRVR_VAL_BUS_DT,DRVR_ABBR_NM,DLY_DRVR_VAL
2,9/28/14,WAK_Attendance,18000
2,9/28/14,WEC_Attendance,34000
2,9/28/14,WMK_Attendance,32000
2,9/28/14,WST_Attendance,30000
2,9/29/14,WAK_Attendance,16000
2,9/29/14,WEC_Attendance,27000
2,9/29/14,WMK_Attendance,37000
2,9/29/14,WST_Attendance,16000
2,9/30/14,WAK_Attendance,14000
2,9/30/14,WEC_Attendance,27000
2,9/30/14,WMK_Attendance,29000
2,9/30/14,WST_Attendance,17000
2,10/1/14,WAK_Attendance,15000
2,10/1/14,WEC_Attendance,29000
2,10/1/14,WMK_Attendance,34000
2,10/1/14,WST_Attendance,17000
2,10/2/14,WAK_Attendance,16000
2,10/2/14,WEC_Attendance,28000
2,10/2/14,WMK_Attendance,29000
2,10/2/14,WST_Attendance,17000
2,10/3/14,WAK_Attendance,20000
2,10/3/14,WEC_Attendance,37000
2,10/3/14,WMK_Attendance,30000
2,10/3/14,WST_Attendance,19000
2,10/4/14,WAK_Attendance,20000
2,10/4/14,WEC_Attendance,38000
2,10/4/14,WMK_Attendance,55000
2,10/4/14,WST_Attendance,23000
2,10/5/14,WAK_Attendance,22000
2,10/5/14,WEC_Attendance,36000
2,10/5/14,WMK_Attendance,37000
2,10/5/14,WST_Attendance,25000
2,10/6/14,WAK_Attendance,19000
2,10/6/14,WEC_Attendance,29000
2,10/6/14,WMK_Attendance,49000
2,10/6/14,WST_Attendance,24000
2,10/7/14,WAK_Attendance,19000
2,10/7/14,WEC_Attendance,31000
2,10/7/14,WMK_Attendance,43000
2,10/7/14,WST_Attendance,17000
2,10/8/14,WAK_Attendance,19000
2,10/8/14,WEC_Attendance,30000
2,10/8/14,WMK_Attendance,43000
2,10/8/14,WST_Attendance,27000
2,10/9/14,WAK_Attendance,21000
2,10/9/14,WEC_Attendance,31000
2,10/9/14,WMK_Attendance,37000
2,10/9/14,WST_Attendance,23000
2,10/10/14,WAK_Attendance,24000
2,10/10/14,WEC_Attendance,39000
2,10/10/14,WMK_Attendance,41000
2,10/10/14,WST_Attendance,24000
2,10/11/14,WAK_Attendance,27000
2,10/11/14,WEC_Attendance,46000
2,10/11/14,WMK_Attendance,61000
2,10/11/14,WST_Attendance,27000
2,10/12/14,WAK_Attendance,28000
2,10/12/14,WEC_Attendance,40000
2,10/12/14,WMK_Attendance,57000
2,10/12/14,WST_Attendance,27000
