"arvl_dt","booking_window_range","rm_nt_cn","gst_cn","gst_cn_2","delta_tkt_cn"
"2014-10-01","20+","18452","56299","11346","0"
"2014-10-02","20+","20217","63206","14055","0"
"2014-10-03","20+","33800","109719","23143","0"
"2014-10-04","20+","36465","110224","20890","0"
"2014-10-05","20+","33854","94004","19327","0"
"2014-10-06","20+","17299","48963","10846","0"
"2014-10-07","20+","12433","37717","7693","0"
"2014-10-08","20+","18930","59810","12358","0"
"2014-10-09","20+","25714","82681","18831","0"
"2014-10-10","20+","27730","87265","21050","0"
"2014-10-11","20+","37551","123017","23176","0"
"2014-10-12","20+","28418","90089","17869","0"
"2014-10-13","20+","20996","61360","13552","0"
"2014-10-14","20+","17546","49544","10423","0"
"2014-10-15","20+","20591","62769","13394","0"
"2014-10-16","20+","20769","64912","15584","0"
"2014-10-17","20+","24873","76889","18628","0"
"2014-10-18","20+","36259","114103","21914","0"
"2014-10-19","20+","36625","110092","21859","0"
"2014-10-20","20+","19229","52761","11013","0"
"2014-10-21","20+","17061","48475","10042","0"
"2014-10-22","20+","18259","56323","12156","0"
"2014-10-23","20+","19051","59724","15092","0"
"2014-10-24","20+","21416","65527","18193","0"
"2014-10-25","20+","27882","85918","19303","0"
"2014-10-26","20+","48171","143901","26772","0"
"2014-10-27","20+","19651","57345","11297","0"
"2014-10-28","20+","16367","49565","9363","0"
"2014-10-29","20+","24323","74714","14998","0"
"2014-10-30","20+","23014","73176","15403","0"
"2014-10-31","20+","20569","65805","14216","0"
"2014-11-01","20+","45174","148876","26316","0"
"2014-11-02","20+","24458","73660","15357","0"
"2014-11-03","20+","14847","42865","9254","0"
"2014-11-04","20+","14723","43089","9198","0"
"2014-11-05","20+","18454","54334","12238","0"
"2014-11-06","20+","21534","63969","15385","0"
"2014-11-07","20+","24432","71957","20744","0"
"2014-11-08","20+","25138","79177","21161","0"
"2014-11-09","20+","53898","170863","31085","0"
"2014-11-10","20+","24178","72435","14694","0"
"2014-11-11","20+","22024","64386","12394","0"
"2014-11-12","20+","19728","58520","12287","0"
"2014-11-13","20+","17022","53484","11600","0"
"2014-11-14","20+","24299","77296","16954","0"
"2014-11-15","20+","38773","125986","22763","0"
"2014-11-16","20+","31853","95699","18865","0"
"2014-11-17","20+","14488","41423","8913","0"
"2014-11-18","20+","10768","31456","6792","0"
"2014-11-19","20+","16034","51067","10814","0"
"2014-11-20","20+","30064","104526","21173","0"
"2014-11-21","20+","26267","93477","25399","0"
"2014-11-22","20+","37908","136190","26241","0"
"2014-11-23","20+","23718","84479","18084","0"
