"arvl_dt","booking_window_range","rm_nt_cn","gst_cn","gst_cn_2","delta_tkt_cn"
"2014-10-01","60+","15253","47488","8943","0"
"2014-10-02","60+","17136","54403","11236","0"
"2014-10-03","60+","28927","95904","18399","0"
"2014-10-04","60+","26190","87303","15379","0"
"2014-10-05","60+","22043","70956","13601","0"
"2014-10-06","60+","11680","35371","7223","0"
"2014-10-07","60+","9425","29387","5511","0"
"2014-10-08","60+","14848","47910","9445","0"
"2014-10-09","60+","18759","61856","13297","0"
"2014-10-10","60+","19772","64472","13808","0"
"2014-10-11","60+","29747","99804","17372","0"
"2014-10-12","60+","22538","73223","13743","0"
"2014-10-13","60+","15293","46780","9503","0"
"2014-10-14","60+","12447","37161","7208","0"
"2014-10-15","60+","15467","48840","9703","0"
"2014-10-16","60+","15640","50133","11062","0"
"2014-10-17","60+","18430","58222","12223","0"
"2014-10-18","60+","30225","97671","16989","0"
"2014-10-19","60+","30940","95255","17384","0"
"2014-10-20","60+","14941","42468","8239","0"
"2014-10-21","60+","13136","38732","7469","0"
"2014-10-22","60+","14283","45208","8867","0"
"2014-10-23","60+","14014","45210","10498","0"
"2014-10-24","60+","15027","47338","11170","0"
"2014-10-25","60+","21853","69621","14080","0"
"2014-10-26","60+","41223","128541","22480","0"
"2014-10-27","60+","15910","47723","8645","0"
"2014-10-28","60+","13918","43084","7545","0"
"2014-10-29","60+","20213","63893","11991","0"
"2014-10-30","60+","20202","64982","12949","0"
"2014-10-31","60+","17841","57627","11598","0"
"2014-11-01","60+","41144","136738","23025","0"
"2014-11-02","60+","18153","56455","10979","0"
"2014-11-03","60+","10683","31816","6380","0"
"2014-11-04","60+","11401","34630","6834","0"
"2014-11-05","60+","14939","45238","9507","0"
"2014-11-06","60+","18438","55216","12595","0"
"2014-11-07","60+","20110","60046","16583","0"
"2014-11-08","60+","20446","65597","16128","0"
"2014-11-09","60+","49755","160304","28106","0"
"2014-11-10","60+","19846","61903","11509","0"
"2014-11-11","60+","17614","54591","9706","0"
"2014-11-12","60+","15978","49705","9337","0"
"2014-11-13","60+","14818","47118","9529","0"
"2014-11-14","60+","21623","69252","14063","0"
"2014-11-15","60+","33990","112961","19300","0"
"2014-11-16","60+","26196","82226","15348","0"
"2014-11-17","60+","10984","33520","6638","0"
"2014-11-18","60+","8244","25412","5035","0"
"2014-11-19","60+","12426","41415","8018","0"
"2014-11-20","60+","24951","86842","15406","0"
"2014-11-21","60+","17648","62692","13491","0"
"2014-11-22","60+","32857","119080","21894","0"
"2014-11-23","60+","19151","69160","14063","0"
"2014-11-24","60+","10386","35623","7896","0"
"2014-11-25","60+","13020","44867","9601","0"
"2014-11-26","60+","15167","51924","12722","0"
"2014-11-27","60+","10898","35669","7766","0"
"2014-11-28","60+","14590","47529","10384","0"
"2014-11-29","60+","27144","88949","16508","0"
"2014-11-30","60+","24276","75646","14902","0"
"2014-12-01","60+","18170","53310","10237","0"
"2014-12-02","60+","13694","39973","7755","0"
"2014-12-03","60+","17123","52158","10677","0"
"2014-12-04","60+","14972","45961","10929","0"
"2014-12-05","60+","15151","47280","11916","0"
"2014-12-06","60+","23125","74206","13885","0"
"2014-12-07","60+","20718","63582","12692","0"
"2014-12-08","60+","11558","34106","7423","0"
"2014-12-09","60+","8174","24439","5482","0"
"2014-12-10","60+","8154","25186","6151","0"
"2014-12-11","60+","9134","28233","7963","0"
"2014-12-12","60+","30519","99152","20103","0"
"2014-12-13","60+","28174","94132","16973","0"
"2014-12-14","60+","23939","77827","14736","0"
"2014-12-15","60+","12764","40819","8109","0"
"2014-12-16","60+","9371","31692","6047","0"
"2014-12-17","60+","14274","49384","9209","0"
"2014-12-18","60+","14777","52443","10810","0"
"2014-12-19","60+","20031","72024","15347","0"
"2014-12-20","60+","27274","97373","17399","0"
"2014-12-21","60+","24003","84957","15251","0"
"2014-12-22","60+","18639","64930","11886","0"
"2014-12-23","60+","19872","67813","12300","0"
"2014-12-24","60+","11048","38190","8124","0"
"2014-12-25","60+","11095","37701","7708","0"
"2014-12-26","60+","23878","83999","16622","0"
"2014-12-27","60+","29316","102579","19172","0"
"2014-12-28","60+","21402","73340","14933","0"
"2014-12-29","60+","14919","50940","11145","0"
"2014-12-30","60+","13504","46183","10645","0"
"2014-12-31","60+","8419","28927","8061","0"
"2015-01-01","60+","9759","32314","6515","0"
