"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","10+","Destination","184"
"2014-10-01","10+","Disney Springs","2457"
"2014-10-01","10+","Disney's Animal Kingdom Theme Park","2559"
"2014-10-01","10+","Disney's Animal Kingdom Theme Park Resort Area","1065"
"2014-10-01","10+","Disney's BoardWalk","108"
"2014-10-01","10+","Disney's Hollywood Studios","5141"
"2014-10-01","10+","Downtown Disney Resort Area","122"
"2014-10-01","10+","Epcot","9764"
"2014-10-01","10+","Epcot Resort Area","1718"
"2014-10-01","10+","Magic Kingdom Park","5876"
"2014-10-01","10+","Magic Kingdom Resort Area","8835"
"2014-10-02","10+","Destination","236"
"2014-10-02","10+","Disney Springs","2781"
"2014-10-02","10+","Disney's Animal Kingdom Theme Park","2659"
"2014-10-02","10+","Disney's Animal Kingdom Theme Park Resort Area","1311"
"2014-10-02","10+","Disney's BoardWalk","132"
"2014-10-02","10+","Disney's Hollywood Studios","4899"
"2014-10-02","10+","Downtown Disney Resort Area","225"
"2014-10-02","10+","Epcot","8240"
"2014-10-02","10+","Epcot Resort Area","1774"
"2014-10-02","10+","Magic Kingdom Park","5227"
"2014-10-02","10+","Magic Kingdom Resort Area","9135"
"2014-10-03","10+","Destination","425"
"2014-10-03","10+","Disney Springs","3475"
"2014-10-03","10+","Disney's Animal Kingdom Theme Park","2900"
"2014-10-03","10+","Disney's Animal Kingdom Theme Park Resort Area","1370"
"2014-10-03","10+","Disney's BoardWalk","173"
"2014-10-03","10+","Disney's Hollywood Studios","5222"
"2014-10-03","10+","Downtown Disney Resort Area","190"
"2014-10-03","10+","Epcot","9247"
"2014-10-03","10+","Epcot Resort Area","1896"
"2014-10-03","10+","Magic Kingdom Park","5254"
"2014-10-03","10+","Magic Kingdom Resort Area","9630"
"2014-10-04","10+","Destination","576"
"2014-10-04","10+","Disney Springs","3372"
"2014-10-04","10+","Disney's Animal Kingdom Theme Park","2827"
"2014-10-04","10+","Disney's Animal Kingdom Theme Park Resort Area","1458"
"2014-10-04","10+","Disney's BoardWalk","153"
"2014-10-04","10+","Disney's Hollywood Studios","4146"
"2014-10-04","10+","Downtown Disney Resort Area","272"
"2014-10-04","10+","Epcot","9291"
"2014-10-04","10+","Epcot Resort Area","1874"
"2014-10-04","10+","Magic Kingdom Park","7361"
"2014-10-04","10+","Magic Kingdom Resort Area","11009"
"2014-10-05","10+","Destination","351"
"2014-10-05","10+","Disney Springs","3277"
"2014-10-05","10+","Disney's Animal Kingdom Theme Park","3020"
"2014-10-05","10+","Disney's Animal Kingdom Theme Park Resort Area","1366"
"2014-10-05","10+","Disney's BoardWalk","283"
"2014-10-05","10+","Disney's Hollywood Studios","6280"
"2014-10-05","10+","Downtown Disney Resort Area","233"
"2014-10-05","10+","Epcot","8316"
"2014-10-05","10+","Epcot Resort Area","1948"
"2014-10-05","10+","Magic Kingdom Park","5845"
"2014-10-05","10+","Magic Kingdom Resort Area","9640"
"2014-10-06","10+","Destination","267"
"2014-10-06","10+","Disney Springs","2613"
"2014-10-06","10+","Disney's Animal Kingdom Theme Park","3275"
"2014-10-06","10+","Disney's Animal Kingdom Theme Park Resort Area","1247"
"2014-10-06","10+","Disney's BoardWalk","243"
"2014-10-06","10+","Disney's Hollywood Studios","6232"
"2014-10-06","10+","Downtown Disney Resort Area","124"
"2014-10-06","10+","Epcot","9223"
"2014-10-06","10+","Epcot Resort Area","2177"
"2014-10-06","10+","Magic Kingdom Park","7317"
"2014-10-06","10+","Magic Kingdom Resort Area","9330"
"2014-10-07","10+","Destination","240"
"2014-10-07","10+","Disney Springs","3098"
"2014-10-07","10+","Disney's Animal Kingdom Theme Park","3216"
"2014-10-07","10+","Disney's Animal Kingdom Theme Park Resort Area","1089"
"2014-10-07","10+","Disney's BoardWalk","227"
"2014-10-07","10+","Disney's Hollywood Studios","4326"
"2014-10-07","10+","Downtown Disney Resort Area","195"
"2014-10-07","10+","Epcot","8633"
"2014-10-07","10+","Epcot Resort Area","2200"
"2014-10-07","10+","Four Seasons Resort Orlando at Walt Disney World Resort","2"
"2014-10-07","10+","Magic Kingdom Park","7122"
"2014-10-07","10+","Magic Kingdom Resort Area","9864"
"2014-10-08","10+","Destination","298"
"2014-10-08","10+","Disney Springs","2974"
"2014-10-08","10+","Disney's Animal Kingdom Theme Park","2920"
"2014-10-08","10+","Disney's Animal Kingdom Theme Park Resort Area","1095"
