"arvl_dt","booking_window_range","rm_nt_cn","gst_cn","gst_cn_2","delta_tkt_cn"
"2014-10-01","10+","19161","58061","11896","0"
"2014-10-02","10+","21073","65025","14738","0"
"2014-10-03","10+","35102","112565","24328","0"
"2014-10-04","10+","38551","113904","22006","0"
"2014-10-05","10+","35909","97644","20460","0"
"2014-10-06","10+","18233","51217","11560","0"
"2014-10-07","10+","13135","39601","8254","0"
"2014-10-08","10+","19507","61478","12992","0"
"2014-10-09","10+","26683","85430","19713","0"
"2014-10-10","10+","28761","90452","22235","0"
"2014-10-11","10+","38745","126606","24382","0"
"2014-10-12","10+","30083","94973","19204","0"
"2014-10-13","10+","22177","64478","14510","0"
"2014-10-14","10+","18421","51714","11195","0"
"2014-10-15","10+","21222","64465","14006","0"
"2014-10-16","10+","21270","66333","16101","0"
"2014-10-17","10+","25709","79338","19667","0"
"2014-10-18","10+","37767","118483","23370","0"
"2014-10-19","10+","38051","113870","23344","0"
"2014-10-20","10+","20200","55148","11758","0"
"2014-10-21","10+","17913","50490","10702","0"
"2014-10-22","10+","18752","57602","12648","0"
"2014-10-23","10+","19636","61367","15717","0"
"2014-10-24","10+","22338","68230","19355","0"
"2014-10-25","10+","29144","89286","20890","0"
"2014-10-26","10+","49639","146883","27787","0"
"2014-10-27","10+","20378","59083","11929","0"
"2014-10-28","10+","16949","50960","9836","0"
"2014-10-29","10+","24749","75791","15416","0"
"2014-10-30","10+","23419","74278","15815","0"
"2014-10-31","10+","20991","67070","14747","0"
"2014-11-01","10+","45929","150979","27084","0"
"2014-11-02","10+","25767","77086","16385","0"
"2014-11-03","10+","15903","45407","10061","0"
"2014-11-04","10+","15314","44471","9735","0"
"2014-11-05","10+","19188","56062","12872","0"
"2014-11-06","10+","21943","64948","15861","0"
"2014-11-07","10+","25005","73625","21454","0"
"2014-11-08","10+","25822","81083","22120","0"
"2014-11-09","10+","54726","173077","31847","0"
"2014-11-10","10+","25084","74650","15599","0"
"2014-11-11","10+","22814","66257","13058","0"
"2014-11-12","10+","20044","59310","12613","0"
"2014-11-13","10+","17395","54483","12022","0"
"2014-11-14","10+","25829","81409","18892","0"
"2014-11-15","10+","39509","128006","23526","0"
"2014-11-16","10+","32855","98361","19740","0"
"2014-11-17","10+","15507","43579","9553","0"
"2014-11-18","10+","11395","33035","7321","0"
"2014-11-19","10+","16570","52447","11318","0"
"2014-11-20","10+","30596","106074","21813","0"
"2014-11-21","10+","26937","95750","26313","0"
"2014-11-22","10+","38989","139594","27290","0"
"2014-11-23","10+","24974","88290","19435","0"
"2014-11-24","10+","14872","49704","12060","0"
"2014-11-25","10+","17158","58129","13170","0"
"2014-11-26","10+","20412","68585","17402","0"
"2014-11-27","10+","14675","47401","11376","0"
"2014-11-28","10+","19955","63808","15971","0"
"2014-11-29","10+","32554","105180","21800","0"
"2014-11-30","10+","29931","91123","19641","0"
"2014-12-01","10+","23316","66066","13978","0"
"2014-12-02","10+","17227","49207","10597","0"
"2014-12-03","10+","21801","65963","14420","0"
"2014-12-04","10+","20555","62876","15893","0"
"2014-12-05","10+","21745","67528","17994","0"
"2014-12-06","10+","32753","104135","21349","0"
"2014-12-07","10+","30563","90185","20189","0"
"2014-12-08","10+","19351","56704","13010","0"
"2014-12-09","10+","13559","39394","9922","0"
"2014-12-10","10+","14477","41879","11146","0"
"2014-12-11","10+","14322","43146","13177","0"
"2014-12-12","10+","35512","113759","26135","0"
"2014-12-13","10+","32853","107819","21848","0"
"2014-12-14","10+","31305","99478","20447","0"
"2014-12-15","10+","17655","54141","11864","0"
"2014-12-16","10+","12708","41530","8802","0"
"2014-12-17","10+","18788","63930","13031","0"
"2014-12-18","10+","19212","67138","15165","0"
"2014-12-19","10+","25631","90908","21391","0"
"2014-12-20","10+","33555","117954","22700","0"
"2014-12-21","10+","29300","102908","19651","0"
"2014-12-22","10+","23637","81480","16004","0"
"2014-12-23","10+","25053","85036","16501","0"
"2014-12-24","10+","16096","54593","12754","0"
"2014-12-25","10+","14793","50310","11242","0"
"2014-12-26","10+","32760","113012","24437","0"
"2014-12-27","10+","37238","128908","25785","0"
"2014-12-28","10+","28114","94556","20385","0"
"2014-12-29","10+","21230","71165","16388","0"
"2014-12-30","10+","19204","64673","15662","0"
"2014-12-31","10+","13452","45164","13673","0"
"2015-01-01","10+","14743","48620","11110","0"
"2015-01-02","10+","19843","67330","15077","0"
"2015-01-03","10+","20524","66645","14626","0"
"2015-01-04","10+","20613","62505","14825","0"
"2015-01-05","10+","30985","92409","19374","0"
"2015-01-06","10+","22751","61448","11813","0"
"2015-01-07","10+","30586","85869","17463","0"
"2015-01-08","10+","23589","67697","15384","0"
"2015-01-09","10+","23916","69449","17446","0"
"2015-01-10","10+","20518","63097","13737","0"
"2015-01-11","10+","24650","72369","14361","0"
"2015-01-12","10+","20989","58520","12123","0"
"2015-01-13","10+","15083","41589","8560","0"
"2015-01-14","10+","17496","55635","11142","0"
"2015-01-15","10+","27384","88478","19909","0"
"2015-01-16","10+","28378","90356","22983","0"
"2015-01-17","10+","28542","93131","18617","0"
"2015-01-18","10+","25850","72728","15099","0"
"2015-01-19","10+","22276","65495","13511","0"
"2015-01-20","10+","16380","47132","8860","0"
"2015-01-21","10+","17864","52671","11202","0"
"2015-01-22","10+","20122","61533","14462","0"
"2015-01-23","10+","21898","68327","17838","0"
"2015-01-24","10+","31785","96557","19365","0"
"2015-01-25","10+","26689","75859","15597","0"
"2015-01-26","10+","18263","48850","10535","0"
"2015-01-27","10+","13449","38978","7853","0"
"2015-01-28","10+","17742","53021","11149","0"
"2015-01-29","10+","25740","78328","18371","0"
"2015-01-30","10+","24602","76077","19825","0"
"2015-01-31","10+","29324","94707","18992","0"
"2015-02-01","10+","26599","80026","15763","0"
"2015-02-02","10+","17795","49752","10803","0"
"2015-02-03","10+","18276","48522","10330","0"
"2015-02-04","10+","23754","71726","15502","0"
"2015-02-05","10+","27786","88039","20618","0"
"2015-02-06","10+","23584","75149","19548","0"
"2015-02-07","10+","25590","80381","16894","0"
"2015-02-08","10+","25583","71850","15834","0"
"2015-02-09","10+","17518","47558","11566","0"
"2015-02-10","10+","17309","53680","11118","0"
"2015-02-11","10+","23404","74183","16266","0"
"2015-02-12","10+","25613","83173","18751","0"
"2015-02-13","10+","28018","94066","23877","0"
"2015-02-14","10+","32962","111731","23105","0"
"2015-02-15","10+","27518","87830","19477","0"
"2015-02-16","10+","21802","69887","17151","0"
"2015-02-17","10+","16937","51531","12208","0"
"2015-02-18","10+","21372","60442","14658","0"
