"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","60+","Destination","118"
"2014-10-01","60+","Disney Springs","1495"
"2014-10-01","60+","Disney's Animal Kingdom Theme Park","1869"
"2014-10-01","60+","Disney's Animal Kingdom Theme Park Resort Area","695"
"2014-10-01","60+","Disney's BoardWalk","70"
"2014-10-01","60+","Disney's Hollywood Studios","4199"
"2014-10-01","60+","Downtown Disney Resort Area","48"
"2014-10-01","60+","Epcot","7375"
"2014-10-01","60+","Epcot Resort Area","1253"
"2014-10-01","60+","Magic Kingdom Park","4902"
"2014-10-01","60+","Magic Kingdom Resort Area","6843"
"2014-10-02","60+","Destination","118"
"2014-10-02","60+","Disney Springs","1728"
"2014-10-02","60+","Disney's Animal Kingdom Theme Park","1921"
"2014-10-02","60+","Disney's Animal Kingdom Theme Park Resort Area","738"
"2014-10-02","60+","Disney's BoardWalk","91"
"2014-10-02","60+","Disney's Hollywood Studios","3809"
"2014-10-02","60+","Downtown Disney Resort Area","140"
"2014-10-02","60+","Epcot","5899"
"2014-10-02","60+","Epcot Resort Area","1211"
"2014-10-02","60+","Magic Kingdom Park","4057"
"2014-10-02","60+","Magic Kingdom Resort Area","6953"
"2014-10-03","60+","Destination","256"
"2014-10-03","60+","Disney Springs","2131"
"2014-10-03","60+","Disney's Animal Kingdom Theme Park","2134"
"2014-10-03","60+","Disney's Animal Kingdom Theme Park Resort Area","851"
"2014-10-03","60+","Disney's BoardWalk","89"
"2014-10-03","60+","Disney's Hollywood Studios","4047"
"2014-10-03","60+","Downtown Disney Resort Area","95"
"2014-10-03","60+","Epcot","6570"
"2014-10-03","60+","Epcot Resort Area","1233"
"2014-10-03","60+","Magic Kingdom Park","4055"
"2014-10-03","60+","Magic Kingdom Resort Area","7271"
"2014-10-04","60+","Destination","296"
"2014-10-04","60+","Disney Springs","1957"
"2014-10-04","60+","Disney's Animal Kingdom Theme Park","1913"
"2014-10-04","60+","Disney's Animal Kingdom Theme Park Resort Area","925"
"2014-10-04","60+","Disney's BoardWalk","91"
"2014-10-04","60+","Disney's Hollywood Studios","3194"
"2014-10-04","60+","Downtown Disney Resort Area","181"
"2014-10-04","60+","Epcot","6354"
"2014-10-04","60+","Epcot Resort Area","1246"
"2014-10-04","60+","Magic Kingdom Park","5815"
"2014-10-04","60+","Magic Kingdom Resort Area","8068"
"2014-10-05","60+","Destination","191"
"2014-10-05","60+","Disney Springs","1981"
"2014-10-05","60+","Disney's Animal Kingdom Theme Park","2123"
"2014-10-05","60+","Disney's Animal Kingdom Theme Park Resort Area","881"
"2014-10-05","60+","Disney's BoardWalk","119"
"2014-10-05","60+","Disney's Hollywood Studios","5156"
"2014-10-05","60+","Downtown Disney Resort Area","145"
"2014-10-05","60+","Epcot","6009"
"2014-10-05","60+","Epcot Resort Area","1479"
"2014-10-05","60+","Magic Kingdom Park","4523"
"2014-10-05","60+","Magic Kingdom Resort Area","7218"
