"dining_usg_dt","booking_window_range","park_area_nm","nb_dining_gst"
"2014-10-01","20+","Destination","171"
"2014-10-01","20+","Disney Springs","2206"
"2014-10-01","20+","Disney's Animal Kingdom Theme Park","2357"
"2014-10-01","20+","Disney's Animal Kingdom Theme Park Resort Area","950"
"2014-10-01","20+","Disney's BoardWalk","101"
"2014-10-01","20+","Disney's Hollywood Studios","4908"
"2014-10-01","20+","Downtown Disney Resort Area","114"
"2014-10-01","20+","Epcot","9200"
"2014-10-01","20+","Epcot Resort Area","1608"
"2014-10-01","20+","Magic Kingdom Park","5609"
"2014-10-01","20+","Magic Kingdom Resort Area","8096"
"2014-10-02","20+","Destination","210"
"2014-10-02","20+","Disney Springs","2531"
"2014-10-02","20+","Disney's Animal Kingdom Theme Park","2439"
"2014-10-02","20+","Disney's Animal Kingdom Theme Park Resort Area","1128"
"2014-10-02","20+","Disney's BoardWalk","122"
"2014-10-02","20+","Disney's Hollywood Studios","4622"
"2014-10-02","20+","Downtown Disney Resort Area","187"
"2014-10-02","20+","Epcot","7641"
"2014-10-02","20+","Epcot Resort Area","1606"
"2014-10-02","20+","Magic Kingdom Park","4949"
"2014-10-02","20+","Magic Kingdom Resort Area","8303"
"2014-10-03","20+","Destination","372"
"2014-10-03","20+","Disney Springs","3099"
"2014-10-03","20+","Disney's Animal Kingdom Theme Park","2698"
"2014-10-03","20+","Disney's Animal Kingdom Theme Park Resort Area","1220"
"2014-10-03","20+","Disney's BoardWalk","153"
"2014-10-03","20+","Disney's Hollywood Studios","4848"
"2014-10-03","20+","Downtown Disney Resort Area","160"
"2014-10-03","20+","Epcot","8614"
"2014-10-03","20+","Epcot Resort Area","1682"
"2014-10-03","20+","Magic Kingdom Park","4977"
"2014-10-03","20+","Magic Kingdom Resort Area","8770"
"2014-10-04","20+","Destination","489"
"2014-10-04","20+","Disney Springs","2959"
"2014-10-04","20+","Disney's Animal Kingdom Theme Park","2561"
"2014-10-04","20+","Disney's Animal Kingdom Theme Park Resort Area","1282"
"2014-10-04","20+","Disney's BoardWalk","129"
"2014-10-04","20+","Disney's Hollywood Studios","3920"
"2014-10-04","20+","Downtown Disney Resort Area","257"
"2014-10-04","20+","Epcot","8448"
"2014-10-04","20+","Epcot Resort Area","1674"
"2014-10-04","20+","Magic Kingdom Park","6930"
"2014-10-04","20+","Magic Kingdom Resort Area","10069"
"2014-10-05","20+","Destination","300"
"2014-10-05","20+","Disney Springs","3003"
"2014-10-05","20+","Disney's Animal Kingdom Theme Park","2772"
"2014-10-05","20+","Disney's Animal Kingdom Theme Park Resort Area","1249"
"2014-10-05","20+","Disney's BoardWalk","252"
"2014-10-05","20+","Disney's Hollywood Studios","5833"
"2014-10-05","20+","Downtown Disney Resort Area","215"
"2014-10-05","20+","Epcot","7754"
"2014-10-05","20+","Epcot Resort Area","1821"
"2014-10-05","20+","Magic Kingdom Park","5617"
"2014-10-05","20+","Magic Kingdom Resort Area","8766"
"2014-10-06","20+","Destination","232"
"2014-10-06","20+","Disney Springs","2356"
"2014-10-06","20+","Disney's Animal Kingdom Theme Park","3099"
"2014-10-06","20+","Disney's Animal Kingdom Theme Park Resort Area","1095"
"2014-10-06","20+","Disney's BoardWalk","208"
"2014-10-06","20+","Disney's Hollywood Studios","5841"
"2014-10-06","20+","Downtown Disney Resort Area","102"
"2014-10-06","20+","Epcot","8737"
"2014-10-06","20+","Epcot Resort Area","2032"
"2014-10-06","20+","Magic Kingdom Park","7033"
"2014-10-06","20+","Magic Kingdom Resort Area","8662"
"2014-10-07","20+","Destination","209"
"2014-10-07","20+","Disney Springs","2817"
"2014-10-07","20+","Disney's Animal Kingdom Theme Park","3076"
"2014-10-07","20+","Disney's Animal Kingdom Theme Park Resort Area","972"
"2014-10-07","20+","Disney's BoardWalk","212"
